LOG1;DATA_HORA
R.DONA EUGENIA;20090109 12:50
AV.AURELIANO DE FIGUEIREDO PINTO;20090109 13:10
R.MACHADO DE ASSIS;20090109 13:25
AV.IPIRANGA;20090109 13:30
AV.SATURNINO DE BRITO;20090109 13:30
AV.ASSIS BRASIL;20090109 13:30
AV.OTTO NIEMEYER;20090109 14:00
R.BARAO DO AMAZONAS;20090109 14:10
R.AFFONSO PAULO FEIJO;20090109 14:10
ESTR.COSTA GAMA;20090109 15:00
AV.VEIGA;20090109 15:04
R.BERNARDO GOLBERT;20090109 15:10
AV.DR.NILO PECANHA;20090109 15:40
AV.BENTO GONCALVES;20090109 15:45
AV.ASSIS BRASIL;20090109 16:10
AV.DA CAVALHADA;20090109 16:15
AV.TULIO DE ROSE;20090109 17:04
ESTR.JOAO ANTONIO SILVEIRA;20090109 17:15
R.SAO JOSEMARIA ESCRIVA;20090109 17:20
AV.PLINIO BRASIL MILANO;20090109 17:30
R.FELICISSIMO DE AZEVEDO;20090109 17:50
AV.IPIRANGA;20090109 18:00
AV.CRISTOVAO COLOMBO;20090109 18:05
R.ESPIRITO SANTO;20090109 18:15
R.COSTA RICA;20090109 18:18
R.DR.CAMPOS VELHO;20090109 18:30
AV.PRINCESA ISABEL;20090109 18:30
R.MIGUEL TOSTES;20090109 19:15
AV.SERTORIO;20090109 19:20
AV.BENJAMIN CONSTANT;20090109 19:36
R.DR.PEREIRA NETO;20090109 19:49
AV.WENCESLAU ESCOBAR;20090109 21:15
AV.PROF OSCAR.PEREIRA;20090109 21:55
AV.PROTASIO ALVES;20090110 00:05
AV.JUCA BATISTA;20090110 01:58
AV.PROTASIO ALVES;20090110 05:25
AV.SERTORIO;20090110 07:07
ESTR.DO RINCAO;20090110 08:18
AV.MAUA;20090110 08:31
AV.PINHEIRO BORDA;20090110 09:15
AV.TERESOPOLIS;20090110 09:40
AV.BENTO GONCALVES;20090110 10:10
AV.CEARA;20090110 10:45
AV.DA CAVALHADA;20090110 11:00
AV.PROTASIO ALVES;20090110 11:00
R.BARAO DO TRIUNFO;20090110 11:20
R.ERECHIM;20090110 11:30
R.SANTA CECILIA;20090110 11:30
AV.TEIXEIRA MENDES;20090110 11:30
AV.ASSIS BRASIL;20090110 11:43
AV.DR.CARLOS BARBOSA;20090110 11:45
AV.PROF OSCAR.PEREIRA;20090110 12:00
AV.EDGAR.PIRES DE CASTRO;20090110 12:00
AV.CHUI;20090110 12:10
R.TEN CEL FABRICIO PILAR;20090110 12:15
AV.SERTORIO;20090110 12:30
AV.BERNARDINO SILVEIRA DE AMORIM;20090110 13:21
R.CAIRU;20090110 13:45
R.DOMINGOS RUBBO;20090110 14:09
AV.PROTASIO ALVES;20090110 14:24
R.DONA MARGARIDA;20090110 14:30
AV.BERNARDINO SILVEIRA PASTORIZA;20090110 14:40
R.TOMAZ FLORES;20090110 14:43
LG VESPASIANO JULIO VEPPO;20090110 15:20
AV.DA AZENHA;20090110 16:00
R.PILADE FREDIANI;20090110 16:30
AV.OTTO NIEMEYER;20090110 16:40
AV.DO FORTE;20090110 16:55
AV.SERTORIO;20090110 17:20
R.DR.CAMPOS VELHO;20090110 17:30
AV.JUCA BATISTA;20090110 18:00
R.DORIVAL CASTILHO MACHADO;20090110 18:10
R.PADRE CHAGAS;20090110 18:50
AV.COPACABANA;20090110 19:00
AV.EDVALDO PEREIRA PAIVA;20090110 19:25
AV.BENJAMIN CONSTANT;20090110 20:20
R.RIACHUELO;20090110 20:40
R.CEL VICENTE;20090110 21:00
LG VESPASIANO JULIO VEPPO;20090110 21:15
R.CARLOS ESTEVAO;20090110 22:45
R.SANTA FLORA;20090111 00:40
R.VICENTE DA FONTOURA;20090111 02:00
AV.OSWALDO ROLLA (FOGUINHO);20090111 05:00
AV.IPIRANGA;20090111 05:45
R.CALDRE E FIAO;20090111 06:00
R.JOSE FERREIRA JARDIM;20090111 07:40
AV.FARRAPOS;20090111 08:00
AV.BORGES DE MEDEIROS;20090111 08:08
ESTR.COSTA GAMA;20090111 08:30
AV.IPIRANGA;20090111 08:50
R.SANTOS PEDROSO;20090111 10:10
AV.NONOAI;20090111 12:00
AV.JOAO PESSOA;20090111 13:20
R.FERNANDES VIEIRA;20090111 13:30
AV.EDVALDO PEREIRA PAIVA;20090111 14:10
R.JOAO DO RIO;20090111 17:10
AV.CEL APARICIO BORGES;20090111 17:30
ESTR.JOAO SALOMONI;20090111 17:55
AV.PLINIO BRASIL MILANO;20090111 18:00
R.RAMIRO BARCELOS;20090111 19:45
R.JOSE ALIPIO DA SILVA;20090111 20:00
AV.PADRE CACIQUE;20090111 20:40
R.BOTAFOGO;20090111 21:00
ESTR.CRISTIANO KRAEMER;20090111 22:30
